,start,earning_rate
21,818590.24430616,0.0
22,818590.24430616,-0.12
23,817569.27541389,0.49
0,821589.23220656,0.54
1,826040.72401645,0.26
2,828158.45350722,-0.09
3,827442.90389108,0.22999999999999998
4,829363.83629929,0.06
5,829822.85702165,-0.53
6,825405.32251215,-0.83
7,818585.01285279,-0.22
8,816793.67871765,0.3
9,819283.85338788,-0.04
10,818981.48955064,0.42
11,822411.13899793,-0.9900000000000001
12,814239.98717916,-0.53
